Time;Source;Event
2022-10-13 00:29:00;fridge operation;START
2022-10-13 00:29:00;REFRIGERATOR;ON
2022-10-13 00:43:00;REFRIGERATOR;OFF
2022-10-13 00:43:00;fridge operation;END
2022-10-13 00:52:42;dishwasher operation;START
2022-10-13 00:52:51;DISHWASHER;ON
2022-10-13 01:28:37;fridge operation;START
2022-10-13 01:28:37;REFRIGERATOR;ON
2022-10-13 01:42:37;REFRIGERATOR;OFF
2022-10-13 01:42:37;fridge operation;END
2022-10-13 02:00:07;DISHWASHER;OFF
2022-10-13 02:00:07;dishwasher operation;END
2022-10-13 02:20:54;fridge operation;START
2022-10-13 02:20:54;REFRIGERATOR;ON
2022-10-13 02:34:54;REFRIGERATOR;OFF
2022-10-13 02:34:54;fridge operation;END
2022-10-13 02:49:51;washing a load of laundry;START
2022-10-13 02:50:05;DRYER;ON
2022-10-13 03:15:44;fridge operation;START
2022-10-13 03:15:44;REFRIGERATOR;ON
2022-10-13 03:29:44;REFRIGERATOR;OFF
2022-10-13 03:29:44;fridge operation;END
2022-10-13 04:36:00;fridge operation;START
2022-10-13 04:36:00;REFRIGERATOR;ON
2022-10-13 04:50:00;REFRIGERATOR;OFF
2022-10-13 04:50:00;fridge operation;END
2022-10-13 05:50:41;fridge operation;START
2022-10-13 05:50:41;REFRIGERATOR;ON
2022-10-13 06:04:41;REFRIGERATOR;OFF
2022-10-13 06:04:41;fridge operation;END
2022-10-13 06:54:51;fridge operation;START
2022-10-13 06:54:51;REFRIGERATOR;ON
2022-10-13 07:08:51;REFRIGERATOR;OFF
2022-10-13 07:08:51;fridge operation;END
2022-10-13 08:05:28;preparing breakfast with coffee or tea and toast or eggs;START
2022-10-13 08:05:33;COFFEEMAKER;ON
2022-10-13 08:05:44;DRYER;OFF
2022-10-13 08:05:44;washing a load of laundry;END
2022-10-13 08:05:47;COOKINGSTOVE;ON
2022-10-13 08:12:47;COOKINGSTOVE;OFF
2022-10-13 08:15:52;preparing breakfast with coffee or tea and toast or eggs;START
2022-10-13 08:15:57;COFFEEMAKER;ON
2022-10-13 08:16:08;BREADCUTTER;ON
2022-10-13 08:16:13;BREADCUTTER;OFF
2022-10-13 08:16:14;BREADCUTTER;ON
2022-10-13 08:16:19;BREADCUTTER;OFF
2022-10-13 08:16:20;TOASTER;ON
2022-10-13 08:24:19;fridge operation;START
2022-10-13 08:24:19;REFRIGERATOR;ON
2022-10-13 08:31:24;preparing breakfast with coffee or tea and toast or eggs;START
2022-10-13 08:31:29;COFFEEMAKER;ON
2022-10-13 08:31:41;COFFEEMAKER;OFF
2022-10-13 08:31:41;preparing breakfast with coffee or tea and toast or eggs;END
2022-10-13 08:31:42;COOKINGSTOVE;ON
2022-10-13 08:36:38;TOASTER;OFF
2022-10-13 08:38:19;REFRIGERATOR;OFF
2022-10-13 08:38:19;fridge operation;END
2022-10-13 08:38:42;COOKINGSTOVE;OFF
2022-10-13 08:38:43;preparing breakfast with coffee or tea and toast or eggs;START
2022-10-13 08:38:48;COFFEEMAKER;ON
2022-10-13 08:39:01;BREADCUTTER;ON
2022-10-13 08:39:06;BREADCUTTER;OFF
2022-10-13 08:39:07;TOASTER;ON
2022-10-13 08:42:05;COFFEEMAKER;OFF
2022-10-13 08:42:05;preparing breakfast with coffee or tea and toast or eggs;END
2022-10-13 08:57:37;COFFEEMAKER;OFF
2022-10-13 08:57:37;preparing breakfast with coffee or tea and toast or eggs;END
2022-10-13 08:59:25;TOASTER;OFF
2022-10-13 09:04:56;COFFEEMAKER;OFF
2022-10-13 09:04:56;preparing breakfast with coffee or tea and toast or eggs;END
2022-10-13 09:13:59;fridge operation;START
2022-10-13 09:13:59;REFRIGERATOR;ON
2022-10-13 09:20:25;use a personal computer;START
2022-10-13 09:20:25;PC;ON
2022-10-13 09:27:59;REFRIGERATOR;OFF
2022-10-13 09:27:59;fridge operation;END
2022-10-13 10:14:50;use a personal computer;START
2022-10-13 10:14:50;PC;ON
2022-10-13 10:23:54;fridge operation;START
2022-10-13 10:23:54;REFRIGERATOR;ON
2022-10-13 10:35:44;PC;OFF
2022-10-13 10:35:44;use a personal computer;END
2022-10-13 10:37:54;REFRIGERATOR;OFF
2022-10-13 10:37:54;fridge operation;END
2022-10-13 11:12:38;fridge operation;START
2022-10-13 11:12:38;REFRIGERATOR;ON
2022-10-13 11:26:38;REFRIGERATOR;OFF
2022-10-13 11:26:38;fridge operation;END
2022-10-13 11:30:09;PC;OFF
2022-10-13 11:30:09;use a personal computer;END
2022-10-13 11:45:27;fridge operation;START
