Time;Source;Event
2022-10-16 00:08:16;fridge operation;START
2022-10-16 00:08:16;REFRIGERATOR;ON
2022-10-16 00:22:16;REFRIGERATOR;OFF
2022-10-16 00:22:16;fridge operation;END
2022-10-16 01:01:07;fridge operation;START
2022-10-16 01:01:07;REFRIGERATOR;ON
2022-10-16 01:15:07;REFRIGERATOR;OFF
2022-10-16 01:15:07;fridge operation;END
2022-10-16 01:37:12;fridge operation;START
2022-10-16 01:37:12;REFRIGERATOR;ON
2022-10-16 01:51:12;REFRIGERATOR;OFF
2022-10-16 01:51:12;fridge operation;END
2022-10-16 02:28:55;fridge operation;START
2022-10-16 02:28:55;REFRIGERATOR;ON
2022-10-16 02:42:55;REFRIGERATOR;OFF
2022-10-16 02:42:55;fridge operation;END
2022-10-16 03:44:31;fridge operation;START
2022-10-16 03:44:31;REFRIGERATOR;ON
2022-10-16 03:58:31;REFRIGERATOR;OFF
2022-10-16 03:58:31;fridge operation;END
2022-10-16 04:22:20;washing a load of laundry;START
2022-10-16 04:22:31;WASHINGMACHINE;ON
2022-10-16 04:27:27;fridge operation;START
2022-10-16 04:27:27;REFRIGERATOR;ON
2022-10-16 04:41:27;REFRIGERATOR;OFF
2022-10-16 04:41:27;fridge operation;END
2022-10-16 04:59:10;fridge operation;START
2022-10-16 04:59:10;REFRIGERATOR;ON
2022-10-16 05:13:10;REFRIGERATOR;OFF
2022-10-16 05:13:10;fridge operation;END
2022-10-16 06:15:30;fridge operation;START
2022-10-16 06:15:30;REFRIGERATOR;ON
2022-10-16 06:29:30;REFRIGERATOR;OFF
2022-10-16 06:29:30;fridge operation;END
2022-10-16 07:32:58;WASHINGMACHINE;OFF
2022-10-16 07:32:58;washing a load of laundry;END
2022-10-16 07:37:17;fridge operation;START
2022-10-16 07:37:17;REFRIGERATOR;ON
2022-10-16 07:51:17;REFRIGERATOR;OFF
2022-10-16 07:51:17;fridge operation;END
2022-10-16 07:58:53;preparing breakfast with coffee or tea and toast or eggs;START
2022-10-16 07:58:58;KETTLE;ON
2022-10-16 07:59:09;BREADCUTTER;ON
2022-10-16 07:59:14;BREADCUTTER;OFF
2022-10-16 07:59:15;TOASTER;ON
2022-10-16 08:00:46;KETTLE;OFF
2022-10-16 08:19:33;TOASTER;OFF
2022-10-16 08:19:33;preparing breakfast with coffee or tea and toast or eggs;END
2022-10-16 08:21:46;fridge operation;START
2022-10-16 08:21:46;REFRIGERATOR;ON
2022-10-16 08:35:46;REFRIGERATOR;OFF
2022-10-16 08:35:46;fridge operation;END
2022-10-16 09:11:04;vacuuming;START
2022-10-16 09:11:04;VACUUMCLEANER;ON
2022-10-16 09:19:49;fridge operation;START
2022-10-16 09:19:49;REFRIGERATOR;ON
2022-10-16 09:23:04;VACUUMCLEANER;OFF
2022-10-16 09:23:04;vacuuming;END
2022-10-16 09:33:49;REFRIGERATOR;OFF
2022-10-16 09:33:49;fridge operation;END
2022-10-16 09:59:31;listen to a 74 minute audio CD;START
2022-10-16 09:59:31;AMPLIFIER;ON
2022-10-16 09:59:38;CDPLAYER;ON
2022-10-16 10:08:13;fridge operation;START
2022-10-16 10:08:13;REFRIGERATOR;ON
2022-10-16 10:22:13;REFRIGERATOR;OFF
2022-10-16 10:22:13;fridge operation;END
2022-10-16 11:02:54;fridge operation;START
2022-10-16 11:02:54;REFRIGERATOR;ON
2022-10-16 11:13:37;CDPLAYER;OFF
2022-10-16 11:13:40;AMPLIFIER;OFF
2022-10-16 11:13:40;listen to a 74 minute audio CD;END
2022-10-16 11:16:54;REFRIGERATOR;OFF
2022-10-16 11:16:54;fridge operation;END
2022-10-16 11:55:18;watching TV;START
2022-10-16 11:55:18;TV;ON
2022-10-16 12:03:35;fridge operation;START
2022-10-16 12:03:35;REFRIGERATOR;ON
2022-10-16 12:17:35;REFRIGERATOR;OFF
2022-10-16 12:17:35;fridge operation;END
2022-10-16 12:50:48;TV;OFF
2022-10-16 12:50:49;TV;ON
2022-10-16 13:07:33;fridge operation;START
2022-10-16 13:07:33;REFRIGERATOR;ON
2022-10-16 13:10:27;TV;OFF
2022-10-16 13:10:27;watching TV;END
2022-10-16 13:12:20;microwaving food;START
2022-10-16 13:12:20;MICROWAVE;ON
2022-10-16 13:16:22;MICROWAVE;OFF
2022-10-16 13:16:22;microwaving food;END
2022-10-16 13:21:33;REFRIGERATOR;OFF
